provider_name,scheme_name,account_type,option_name,option_type,management_fee_pct,indirect_cost_ratio,performance_fee,transactional_cost,risk_label,risk_band,performance_1yr,performance_3yr,performance_5yr,performance_10yr,asset_allocation_json,source_url,scraped_at
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Sustainable Future Growth Portfolio,Multi Sector Growth,0.359,0.735,0.049,0.09,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Wealth Creation Portfolio - Flagship,Multi Sector Growth,0.359,0.607,0.025,0.076,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Wealth Creation Portfolio - Fundamental,Multi Sector Balanced,0.359,0.342,0.001,0.031,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Better World Portfolio 1,Multi Sector Moderately Conservative,0.308,0.501,0.018,0.024,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Better World Portfolio 2,Multi Sector Balanced,0.308,0.533,0.031,0.021,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Better World Portfolio 3,Multi Sector Growth,0.308,0.549,0.043,0.017,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Better World Portfolio 4,Multi Sector Growth,0.308,0.564,0.052,0.014,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Diversified Portfolio 1,Multi Sector Moderately Conservative,0.308,0.336,0.064,0.065,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Diversified Portfolio 2,Multi Sector Balanced,0.308,0.372,0.114,0.096,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Diversified Portfolio 3,Multi Sector Growth,0.308,0.406,0.164,0.125,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Diversified Portfolio 4,Multi Sector Growth,0.308,0.43,0.2,0.147,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,InvestSense Diversified Portfolio 5,Multi Sector High Growth,0.308,0.443,0.229,0.165,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares Enhanced Strategic Aggressive Portfolio,Multi Sector Growth,0.186,0.217,,0.127,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares Enhanced Strategic All Growth Portfolio,Multi Sector High Growth,0.187,0.208,,0.119,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares Enhanced Strategic Balanced Portfolio,Multi Sector Balanced,0.186,0.219,,0.142,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares Enhanced Strategic Conservative Portfolio,Multi Sector Conservative,0.186,0.201,,0.137,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares Enhanced Strategic Growth Portfolio,Multi Sector Growth,0.186,0.216,,0.133,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares Enhanced Strategic Moderate Portfolio,Multi Sector Moderately Conservative,0.186,0.212,,0.141,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares ESG Aggressive Portfolio,Multi Sector High Growth,0.154,0.132,,0.046,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares ESG Balanced Portfolio,Multi Sector Balanced,0.154,0.181,,0.039,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares ESG Conservative Portfolio,Multi Sector Conservative,0.154,0.209,,0.031,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares ESG Growth Portfolio,Multi Sector Growth,0.154,0.165,,0.045,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,iShares ESG Moderate Portfolio,Multi Sector Moderately Conservative,0.154,0.198,,0.035,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Managed Portfolio - Listed Balanced,Multi Sector Balanced,0.323,0.273,0.003,0.124,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Managed Portfolio - Listed Conservative,Multi Sector Conservative,0.32,0.263,0.003,0.076,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Managed Portfolio - Listed Growth,Multi Sector Growth,0.329,0.299,0.004,0.106,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Managed Portfolio - Listed High Growth,Multi Sector High Growth,0.335,0.298,0.003,0.108,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
